id	url	publishedAt	title	thumbnail
UKHK80py4qo	https://www.youtube.com/watch?v=UKHK80py4qo	2020-07-22T13:55:06Z	BORBA GATO: UM BANDEIRANTE MUITO CONCRETO - EDUARDO BUENO	https://i.ytimg.com/vi/UKHK80py4qo/mqdefault.jpg
_-wsVESlcZ0	https://www.youtube.com/watch?v=_-wsVESlcZ0	2020-07-19T14:00:07Z	MAMÔNICOS - EDUARDO BUENO	https://i.ytimg.com/vi/_-wsVESlcZ0/mqdefault.jpg
WMhZP5T-iDg	https://www.youtube.com/watch?v=WMhZP5T-iDg	2020-07-15T14:12:30Z	O TRÁFICO DE ESCRAVOS NA CONSTRUÇÃO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/WMhZP5T-iDg/mqdefault.jpg
vcbTsbsgMyw	https://www.youtube.com/watch?v=vcbTsbsgMyw	2020-07-12T14:00:31Z	OS MEMBROS PERGUNTAM, O EDUARDO BUENO RESPONDE.	https://i.ytimg.com/vi/vcbTsbsgMyw/mqdefault.jpg
GiLXTd_kNYM	https://www.youtube.com/watch?v=GiLXTd_kNYM	2020-07-08T14:01:20Z	O CINEMA CONTA A HISTÓRIA DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/GiLXTd_kNYM/mqdefault.jpg
F0kmUGFHqFE	https://www.youtube.com/watch?v=F0kmUGFHqFE	2020-07-05T14:00:04Z	O SISTEMA EDUCACIONAL BRASILEIRO - EDUARDO BUENO	https://i.ytimg.com/vi/F0kmUGFHqFE/mqdefault.jpg
QY2qGDOGfjU	https://www.youtube.com/watch?v=QY2qGDOGfjU	2020-07-01T14:02:32Z	OURO MANCHADO DE SANGUE - EDUARDO BUENO	https://i.ytimg.com/vi/QY2qGDOGfjU/mqdefault.jpg
J3uMQGHRII0	https://www.youtube.com/watch?v=J3uMQGHRII0	2020-06-28T14:00:04Z	JOÃO É UMA ROSA! VIVA GUIMARÃES - EDUARDO BUENO	https://i.ytimg.com/vi/J3uMQGHRII0/mqdefault.jpg
4E4bCrjpMHE	https://www.youtube.com/watch?v=4E4bCrjpMHE	2020-06-24T13:40:37Z	DUARTE PACHECO PEREIRA. O NOBRE NAVEGANTE - EDUARDO BUENO	https://i.ytimg.com/vi/4E4bCrjpMHE/mqdefault.jpg
EmeI_Q6FqGM	https://www.youtube.com/watch?v=EmeI_Q6FqGM	2020-06-21T14:00:05Z	O PASSAMENTO DO ENGENHEIRO LEONEL - EDUARDO BUENO	https://i.ytimg.com/vi/EmeI_Q6FqGM/mqdefault.jpg
jCyNON5yjc0	https://www.youtube.com/watch?v=jCyNON5yjc0	2020-06-17T14:18:54Z	A HISTÓRIA DO BRASIL VAI AO CINEMA - EDUARDO BUENO	https://i.ytimg.com/vi/jCyNON5yjc0/mqdefault.jpg
qgnavwui-ws	https://www.youtube.com/watch?v=qgnavwui-ws	2020-06-14T14:00:13Z	DA SANTA CASA AO SUS - A HISTÓRIA DA SAÚDE PÚBLICA NO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/qgnavwui-ws/mqdefault.jpg
L9h05UC8Zr8	https://www.youtube.com/watch?v=L9h05UC8Zr8	2020-06-10T13:55:12Z	LANGSDORFF CONHECEU O BRASIL E ENLOUQUECEU - EDUARDO BUENO	https://i.ytimg.com/vi/L9h05UC8Zr8/mqdefault.jpg
WrZV98TQG14	https://www.youtube.com/watch?v=WrZV98TQG14	2020-06-07T14:00:20Z	O RICO (E PROIBIDO) AMOR DE EUFRÁSIA E NABUCO - EDUARDO BUENO, LÍZIA BUENO	https://i.ytimg.com/vi/WrZV98TQG14/mqdefault.jpg
J_wWureNqZA	https://www.youtube.com/watch?v=J_wWureNqZA	2020-06-03T13:59:21Z	A ÚNICA RAINHA BRASILEIRA DA HISTÓRIA - EDUARDO BUENO	https://i.ytimg.com/vi/J_wWureNqZA/mqdefault.jpg
ytJXZtgdbMw	https://www.youtube.com/watch?v=ytJXZtgdbMw	2020-05-31T14:00:32Z	REMÉDIOS FALSOS ESTÃO PROIBIDOS - EDUARDO BUENO	https://i.ytimg.com/vi/ytJXZtgdbMw/mqdefault.jpg
ewtoGmwOYMQ	https://www.youtube.com/watch?v=ewtoGmwOYMQ	2020-05-30T14:00:25Z	FELIZ ANIVERSÁRIO EDUARDO BUENO!	https://i.ytimg.com/vi/ewtoGmwOYMQ/mqdefault.jpg
llVHeLXuDFY	https://www.youtube.com/watch?v=llVHeLXuDFY	2020-05-29T15:16:47Z	TUDO FICOU PROIBIDO, MENOS A MORTE - EDUARDO BUENO	https://i.ytimg.com/vi/llVHeLXuDFY/mqdefault.jpg
jsaVWzJsm4s	https://www.youtube.com/watch?v=jsaVWzJsm4s	2020-05-27T13:56:23Z	A INDÚSTRIA QUE MUDOU O MUNDO - EDUARDO BUENO	https://i.ytimg.com/vi/jsaVWzJsm4s/mqdefault.jpg
CkdH7u6Zs10	https://www.youtube.com/watch?v=CkdH7u6Zs10	2020-05-23T14:57:12Z	VÍRUS TRIBAL: A CONQUISTA MICROBIANA DO NOVO MUNDO - EDUARDO BUENO	https://i.ytimg.com/vi/CkdH7u6Zs10/mqdefault.jpg
9iZRQuijuIs	https://www.youtube.com/watch?v=9iZRQuijuIs	2020-05-24T14:00:05Z	A HISTÓRIA É TÃO VIVA QUE ELA VIVE ATÉ NA MORTE - EDUARDO BUENO	https://i.ytimg.com/vi/9iZRQuijuIs/mqdefault.jpg
DnH_ryUIoOo	https://www.youtube.com/watch?v=DnH_ryUIoOo	2020-05-20T14:04:30Z	O CORAÇÃO E O CÉREBRO DE SANTOS DUMONT - EDUARDO BUENO	https://i.ytimg.com/vi/DnH_ryUIoOo/mqdefault.jpg
91knC21qkWc	https://www.youtube.com/watch?v=91knC21qkWc	2020-05-17T14:00:05Z	CEMITÉRIO TAMBÉM É HISTÓRIA - EDUARDO BUENO	https://i.ytimg.com/vi/91knC21qkWc/mqdefault.jpg
8RIr_74MBeI	https://www.youtube.com/watch?v=8RIr_74MBeI	2020-05-15T15:32:34Z	BUENAS RESPOSTAS #1 - EDUARDO BUENO	https://i.ytimg.com/vi/8RIr_74MBeI/mqdefault.jpg
W8l9Rv5kTWs	https://www.youtube.com/watch?v=W8l9Rv5kTWs	2020-05-13T13:56:30Z	OSWALDO CRUZ MORREU! MAS ANTES... - EDUARDO BUENO	https://i.ytimg.com/vi/W8l9Rv5kTWs/mqdefault.jpg
g3oZ68Dr-ww	https://www.youtube.com/watch?v=g3oZ68Dr-ww	2020-05-10T14:00:28Z	O PRESIDENTE DECRETOU: É DIA DAS MÃES - EDUARDO BUENO	https://i.ytimg.com/vi/g3oZ68Dr-ww/mqdefault.jpg
JCSEuetRsHQ	https://www.youtube.com/watch?v=JCSEuetRsHQ	2020-05-08T16:31:00Z	ESPECIAL DE ANIVERSÁRIO! - EDUARDO BUENO	https://i.ytimg.com/vi/JCSEuetRsHQ/mqdefault.jpg
L1qRrjzBS3w	https://www.youtube.com/watch?v=L1qRrjzBS3w	2020-05-01T17:31:47Z	A HISTÓRIA DAS NOSSAS HEROÍNAS - EDUARDO BUENO	https://i.ytimg.com/vi/L1qRrjzBS3w/mqdefault.jpg
WgMwD8oyLJM	https://www.youtube.com/watch?v=WgMwD8oyLJM	2020-05-03T14:00:27Z	SE NÃO DIVULGAR, NÃO ACONTECEU - EDUARDO BUENO	https://i.ytimg.com/vi/WgMwD8oyLJM/mqdefault.jpg
5gQWo9_qddg	https://www.youtube.com/watch?v=5gQWo9_qddg	2020-05-06T13:59:49Z	A INFLAÇÃO E O BRASILEIRO - EDUARDO BUENO	https://i.ytimg.com/vi/5gQWo9_qddg/mqdefault.jpg
7vtETSQtVGI	https://www.youtube.com/watch?v=7vtETSQtVGI	2020-04-26T14:00:04Z	TEM QUE USAR MÁSCARA - EDUARDO BUENO	https://i.ytimg.com/vi/7vtETSQtVGI/mqdefault.jpg
oFQzrCp-Ztg	https://www.youtube.com/watch?v=oFQzrCp-Ztg	2020-04-29T14:24:09Z	PEDRO ÁLVARES CABRAL, DO ESQUECIMENTO AO DESCOBRIMENTO - EDUARDO BUENO	https://i.ytimg.com/vi/oFQzrCp-Ztg/mqdefault.jpg
QB3442_fue0	https://www.youtube.com/watch?v=QB3442_fue0	2020-04-22T14:07:11Z	O DESCOBRIMENTO DE PEDRO ÁLVARES CABRAL - EDUARDO BUENO	https://i.ytimg.com/vi/QB3442_fue0/mqdefault.jpg
xHcPHF_1tqU	https://www.youtube.com/watch?v=xHcPHF_1tqU	2020-04-19T14:00:21Z	O PRESIDENTE INFIEL - EDUARDO BUENO	https://i.ytimg.com/vi/xHcPHF_1tqU/mqdefault.jpg
Ny_95Ns3rSc	https://www.youtube.com/watch?v=Ny_95Ns3rSc	2020-04-15T14:00:04Z	O INÍCIO DA CRUZADA DE OSWALDO CRUZ - EDUARDO BUENO	https://i.ytimg.com/vi/Ny_95Ns3rSc/mqdefault.jpg
ceCCa2eg5MM	https://www.youtube.com/watch?v=ceCCa2eg5MM	2020-04-12T14:00:26Z	O PRESIDENTE DO SÍTIO - EDUARDO BUENO	https://i.ytimg.com/vi/ceCCa2eg5MM/mqdefault.jpg
sNbArNsXqbE	https://www.youtube.com/watch?v=sNbArNsXqbE	2020-04-07T16:00:56Z	O BRASIL DOENTE - EDUARDO BUENO	https://i.ytimg.com/vi/sNbArNsXqbE/mqdefault.jpg
kiCNq8uyTbk	https://www.youtube.com/watch?v=kiCNq8uyTbk	2020-04-05T14:00:30Z	O PRESIDENTE (AS)SUMIU - EDUARDO BUENO	https://i.ytimg.com/vi/kiCNq8uyTbk/mqdefault.jpg
Ulta1pNnmzs	https://www.youtube.com/watch?v=Ulta1pNnmzs	2020-04-01T14:01:11Z	GRIPE ESPANHOLA - A GRIPEZINHA QUE MATOU 20 MILHÕES - EDUARDO BUENO	https://i.ytimg.com/vi/Ulta1pNnmzs/mqdefault.jpg
rc5q9KZkMnw	https://www.youtube.com/watch?v=rc5q9KZkMnw	2020-03-29T14:00:30Z	O PRESIDENTE MORREU (DE NOVO) - EDUARDO BUENO	https://i.ytimg.com/vi/rc5q9KZkMnw/mqdefault.jpg
l73_9kk4J8k	https://www.youtube.com/watch?v=l73_9kk4J8k	2020-04-08T14:00:50Z	PINZÓN DESCOBRIU, MAS NÃO LEVOU - EDUARDO BUENO	https://i.ytimg.com/vi/l73_9kk4J8k/mqdefault.jpg
XiYNpckJWZM	https://www.youtube.com/watch?v=XiYNpckJWZM	2020-03-22T14:00:09Z	O PRESIDENTE MORREU - EDUARDO BUENO	https://i.ytimg.com/vi/XiYNpckJWZM/mqdefault.jpg
pS4tVd2ds3w	https://www.youtube.com/watch?v=pS4tVd2ds3w	2020-03-25T13:47:59Z	JUSCELINO KUBITSCHEK – O LEGADO E O GOVERNO JK - EDUARDO BUENO	https://i.ytimg.com/vi/pS4tVd2ds3w/mqdefault.jpg
K2YY8eggP3U	https://www.youtube.com/watch?v=K2YY8eggP3U	2020-03-18T13:37:32Z	O BRASIL APOSENTADO - EDUARDO BUENO	https://i.ytimg.com/vi/K2YY8eggP3U/mqdefault.jpg
wR2DCiC-lG4	https://www.youtube.com/watch?v=wR2DCiC-lG4	2020-03-15T14:05:06Z	MINHA MELHOR TRADUÇÃO - EDUARDO BUENO	https://i.ytimg.com/vi/wR2DCiC-lG4/mqdefault.jpg
EwvRZOtk2C4	https://www.youtube.com/watch?v=EwvRZOtk2C4	2020-03-11T14:00:06Z	SANTOS DUMONT: MISTÉRIOS DO PAI DA AVIAÇÃO - EDUARDO BUENO	https://i.ytimg.com/vi/EwvRZOtk2C4/mqdefault.jpg
vX4_RKzT6Q8	https://www.youtube.com/watch?v=vX4_RKzT6Q8	2020-03-08T14:00:16Z	O MUNDO É DAS MULHERES - EDUARDO BUENO	https://i.ytimg.com/vi/vX4_RKzT6Q8/mqdefault.jpg
BQsB72fTX4U	https://www.youtube.com/watch?v=BQsB72fTX4U	2020-03-01T14:00:02Z	MENTIRA TEM CÉREBRO CURTO - EDUARDO BUENO	https://i.ytimg.com/vi/BQsB72fTX4U/mqdefault.jpg
7TmV5KY-NUs	https://www.youtube.com/watch?v=7TmV5KY-NUs	2020-03-04T13:50:45Z	A LUTA ENTRE INGLATERRA E BRASIL PELO FIM DA ESCRAVIDÃO - EDUARDO BUENO	https://i.ytimg.com/vi/7TmV5KY-NUs/mqdefault.jpg
B6xTRcVA1w0	https://www.youtube.com/watch?v=B6xTRcVA1w0	2020-02-23T14:00:02Z	A HISTÓRIA DESFILA PELA SAPUCAÍ - EDUARDO BUENO	https://i.ytimg.com/vi/B6xTRcVA1w0/mqdefault.jpg
UKRxn65zzPM	https://www.youtube.com/watch?v=UKRxn65zzPM	2020-02-26T14:00:04Z	ANDRÉ REBOUÇAS: O ENGENHEIRO DA LIBERDADE  - EDUARDO BUENO	https://i.ytimg.com/vi/UKRxn65zzPM/mqdefault.jpg
WSPrp9_L5ZA	https://www.youtube.com/watch?v=WSPrp9_L5ZA	2020-02-19T14:05:30Z	GOITACÁS - A TRIBO INDÍGENA MAIS SELVAGEM DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/WSPrp9_L5ZA/mqdefault.jpg
ptS7WMLOCOc	https://www.youtube.com/watch?v=ptS7WMLOCOc	2020-02-16T14:00:08Z	O DIA DO PANGOLIM - EDUARDO BUENO	https://i.ytimg.com/vi/ptS7WMLOCOc/mqdefault.jpg
EuJMhBEyug0	https://www.youtube.com/watch?v=EuJMhBEyug0	2020-02-12T13:55:59Z	O VOO DO PEQUENO PRÍNCIPE PELO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/EuJMhBEyug0/mqdefault.jpg
m5qLbOKF9uE	https://www.youtube.com/watch?v=m5qLbOKF9uE	2020-02-09T14:00:18Z	RIOS QUE PASSARAM EM NOSSAS VIDAS - EDUARDO BUENO	https://i.ytimg.com/vi/m5qLbOKF9uE/mqdefault.jpg
E5FeZOBctZw	https://www.youtube.com/watch?v=E5FeZOBctZw	2020-02-05T14:00:46Z	A HISTÓRIA DE JOÃO DE BARROS: O PAI DA GRAMÁTICA DA LÍNGUA PORTUGUESA - EDUARDO BUENO	https://i.ytimg.com/vi/E5FeZOBctZw/mqdefault.jpg
-aTBmEDujYo	https://www.youtube.com/watch?v=-aTBmEDujYo	2020-02-02T17:36:55Z	O BRASIL CRIACIONISTA - EDUARDO BUENO	https://i.ytimg.com/vi/-aTBmEDujYo/mqdefault.jpg
15ERwoOzPLk	https://www.youtube.com/watch?v=15ERwoOzPLk	2020-01-29T13:59:14Z	JUSCELINO KUBITSCHEK – O PRELÚDIO DO GOVERNO JK - EDUARDO BUENO	https://i.ytimg.com/vi/15ERwoOzPLk/mqdefault.jpg
6duM0EcqGsg	https://www.youtube.com/watch?v=6duM0EcqGsg	2020-01-26T14:00:00Z	TSUNAMI EM SÃO PAULO - EDUARDO BUENO	https://i.ytimg.com/vi/6duM0EcqGsg/mqdefault.jpg
Rekt7oazYNo	https://www.youtube.com/watch?v=Rekt7oazYNo	2020-01-22T13:50:22Z	O INACREDITÁVEL SENHOR RAPOSO TAVARES - EDUARDO BUENO	https://i.ytimg.com/vi/Rekt7oazYNo/mqdefault.jpg
JT45pyIF1is	https://www.youtube.com/watch?v=JT45pyIF1is	2020-01-19T14:00:02Z	AS VERTIGENS DO BRASIL NO OSCAR DA DEMOCRACIA - EDUARDO BUENO	https://i.ytimg.com/vi/JT45pyIF1is/mqdefault.jpg
P9d4rwMmoMA	https://www.youtube.com/watch?v=P9d4rwMmoMA	2020-01-15T14:07:38Z	JÁ ERA, VARGAS! AGORA É O GOVERNO DUTRA - EDUARDO BUENO	https://i.ytimg.com/vi/P9d4rwMmoMA/mqdefault.jpg
bBdUEqVj6X4	https://www.youtube.com/watch?v=bBdUEqVj6X4	2020-01-12T14:00:06Z	O "IMPRECIONANTE" RETORNO DO BRASIL: UMA HISTÓRIA - EDUARDO BUENO	https://i.ytimg.com/vi/bBdUEqVj6X4/mqdefault.jpg
14DpSqbKdx0	https://www.youtube.com/watch?v=14DpSqbKdx0	2020-01-08T14:00:46Z	FERNANDO DE NORONHA: O PRIMEIRO DONO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/14DpSqbKdx0/mqdefault.jpg
T4d6hWmjweM	https://www.youtube.com/watch?v=T4d6hWmjweM	2020-01-01T13:50:40Z	PRÍNCIPE DE ASTÚRIAS: O MAIOR NAUFRÁGIO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/T4d6hWmjweM/mqdefault.jpg
gAtFVQoFHCE	https://www.youtube.com/watch?v=gAtFVQoFHCE	2019-12-25T13:37:10Z	BISPO SARDINHA NA CEIA DOS ÍNDIOS CAETÉS - EDUARDO BUENO	https://i.ytimg.com/vi/gAtFVQoFHCE/mqdefault.jpg
nSvn9HyJ-Ew	https://www.youtube.com/watch?v=nSvn9HyJ-Ew	2020-01-05T14:00:10Z	AS LENDAS MACABRAS POR TRÁS DO NAUFRÁGIO DO TITANIC BRASILEIRO - EDUARDO BUENO	https://i.ytimg.com/vi/nSvn9HyJ-Ew/mqdefault.jpg
rajAgW4Q_r0	https://www.youtube.com/watch?v=rajAgW4Q_r0	2019-12-29T14:00:05Z	A ORIGEM DO ANO NOVO: POR QUE É COMEMORADO DIA 1º DE JANEIRO? - EDUARDO BUENO	https://i.ytimg.com/vi/rajAgW4Q_r0/mqdefault.jpg
3Lk1mxO1aaM	https://www.youtube.com/watch?v=3Lk1mxO1aaM	2019-12-22T14:00:00Z	A ORIGEM DO PAPAI NOEL E DO NATAL NO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/3Lk1mxO1aaM/mqdefault.jpg
uJe4v9rXL2g	https://www.youtube.com/watch?v=uJe4v9rXL2g	2019-12-18T13:59:15Z	GASPAR DA GAMA: UM JUDEU NO DESCOBRIMENTO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/uJe4v9rXL2g/mqdefault.jpg
byXyk87uNGM	https://www.youtube.com/watch?v=byXyk87uNGM	2019-12-15T14:00:05Z	O VERDADEIRO PADRE DO BALÃO: BARTOLOMEU GUSMÃO - EDUARDO BUENO	https://i.ytimg.com/vi/byXyk87uNGM/mqdefault.jpg
QRHq3PCI-UQ	https://www.youtube.com/watch?v=QRHq3PCI-UQ	2019-12-11T13:55:07Z	UM RASANTE PELA HISTÓRIA DE SANTOS DUMONT - EDUARDO BUENO	https://i.ytimg.com/vi/QRHq3PCI-UQ/mqdefault.jpg
dzMZfzdGBTY	https://www.youtube.com/watch?v=dzMZfzdGBTY	2019-12-08T14:00:07Z	OS AZARADOS SORTILÉGIOS DO PRESIDENTE DA FUNARTE - EDUARDO BUENO	https://i.ytimg.com/vi/dzMZfzdGBTY/mqdefault.jpg
OW0NEab-T1s	https://www.youtube.com/watch?v=OW0NEab-T1s	2019-12-04T13:59:59Z	A DUPLA TRAGÉDIA DE EUCLIDES DA CUNHA - EDUARDO BUENO	https://i.ytimg.com/vi/OW0NEab-T1s/mqdefault.jpg
-68JFjOrOdI	https://www.youtube.com/watch?v=-68JFjOrOdI	2019-12-01T14:00:00Z	O FANTASMA DO AI-5 - EDUARDO BUENO	https://i.ytimg.com/vi/-68JFjOrOdI/mqdefault.jpg
RODCkU5SzUY	https://www.youtube.com/watch?v=RODCkU5SzUY	2019-11-27T13:58:31Z	MARGARET MEE EM BUSCA DA FLOR DA LUA - EDUARDO BUENO	https://i.ytimg.com/vi/RODCkU5SzUY/mqdefault.jpg
XqcaZfxQ-4o	https://www.youtube.com/watch?v=XqcaZfxQ-4o	2019-11-24T14:00:10Z	O LEVANTE COMUNISTA QUE ASSOMBROU O BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/XqcaZfxQ-4o/mqdefault.jpg
Umm-fM-HTnI	https://www.youtube.com/watch?v=Umm-fM-HTnI	2019-11-20T13:55:38Z	NILO PEÇANHA, O PRIMEIRO PRESIDENTE NEGRO DO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/Umm-fM-HTnI/mqdefault.jpg
HgQBZU9mi6s	https://www.youtube.com/watch?v=HgQBZU9mi6s	2019-11-17T17:29:42Z	O GOLPE MILITAR DE 15 DE NOVEMBRO DE 1889 - EDUARDO BUENO	https://i.ytimg.com/vi/HgQBZU9mi6s/mqdefault.jpg
Y0dZpuaEXAY	https://www.youtube.com/watch?v=Y0dZpuaEXAY	2019-11-13T13:59:45Z	A CONQUISTA DA AMAZÔNIA - EDUARDO BUENO	https://i.ytimg.com/vi/Y0dZpuaEXAY/mqdefault.jpg
RyQyTR8U8A0	https://www.youtube.com/watch?v=RyQyTR8U8A0	2019-11-10T14:00:02Z	DEMOCRATIZAÇÃO DO ACESSO AO CINEMA NO BRASIL: ENEM 2019 - EDUARDO BUENO	https://i.ytimg.com/vi/RyQyTR8U8A0/mqdefault.jpg
HzewttqI8ts	https://www.youtube.com/watch?v=HzewttqI8ts	2019-11-06T13:31:24Z	DARWIN E AS BORBOLETAS MUTANTES DA AMAZÔNIA - EDUARDO BUENO	https://i.ytimg.com/vi/HzewttqI8ts/mqdefault.jpg
yuJPJmqOi0c	https://www.youtube.com/watch?v=yuJPJmqOi0c	2019-11-03T14:00:15Z	PATRIOTISMO, O QUE É ISSO? - EDUARDO BUENO	https://i.ytimg.com/vi/yuJPJmqOi0c/mqdefault.jpg
2gGTquOUkOw	https://www.youtube.com/watch?v=2gGTquOUkOw	2019-10-30T13:57:58Z	ANHANGUERA, O DIABO BRASILEIRO - EDUARDO BUENO	https://i.ytimg.com/vi/2gGTquOUkOw/mqdefault.jpg
nxXOo1KveUI	https://www.youtube.com/watch?v=nxXOo1KveUI	2019-10-27T16:41:24Z	O QUE É E PARA QUE SERVE O NIÓBIO - EDUARDO BUENO	https://i.ytimg.com/vi/nxXOo1KveUI/mqdefault.jpg
C_FC8oQnIFQ	https://www.youtube.com/watch?v=C_FC8oQnIFQ	2019-10-23T13:57:50Z	LUND: O VERDADEIRO HOMEM DAS CAVERNAS - EDUARDO BUENO	https://i.ytimg.com/vi/C_FC8oQnIFQ/mqdefault.jpg
9xl13mBlZZ0	https://www.youtube.com/watch?v=9xl13mBlZZ0	2019-10-20T14:00:01Z	GOLPE MILITAR DE 1930 - EDUARDO BUENO	https://i.ytimg.com/vi/9xl13mBlZZ0/mqdefault.jpg
WwLpdSHSPz0	https://www.youtube.com/watch?v=WwLpdSHSPz0	2019-10-16T19:31:06Z	A PRODIGIOSA HISTÓRIA DO FUSCA NO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/WwLpdSHSPz0/mqdefault.jpg
ruFWKYsZp0o	https://www.youtube.com/watch?v=ruFWKYsZp0o	2019-10-13T14:00:08Z	NAZISTAS NO BRASIL - EDUARDO BUENO	https://i.ytimg.com/vi/ruFWKYsZp0o/mqdefault.jpg
mHYOGn3hA_A	https://www.youtube.com/watch?v=mHYOGn3hA_A	2019-10-09T13:55:42Z	A GUERRA GUARANÍTICA - EDUARDO BUENO	https://i.ytimg.com/vi/mHYOGn3hA_A/mqdefault.jpg
ZvIsSArE8NY	https://www.youtube.com/watch?v=ZvIsSArE8NY	2019-10-06T14:15:00Z	A FASCINANTE HISTÓRIA DO VERDADEIRO THOR - EDUARDO BUENO	https://i.ytimg.com/vi/ZvIsSArE8NY/mqdefault.jpg
pOWs9tD2_KU	https://www.youtube.com/watch?v=pOWs9tD2_KU	2019-10-02T13:59:06Z	CRISTÓVÃO JACQUES E EXPEDIÇÕES GUARDA-COSTAS - EDUARDO BUENO	https://i.ytimg.com/vi/pOWs9tD2_KU/mqdefault.jpg
-kpXIzr9C5U	https://www.youtube.com/watch?v=-kpXIzr9C5U	2019-09-29T14:00:00Z	RAONI NA BOCA DO MUNDO - EDUARDO BUENO	https://i.ytimg.com/vi/-kpXIzr9C5U/mqdefault.jpg
d8eHfHT3clU	https://www.youtube.com/watch?v=d8eHfHT3clU	2019-09-25T14:00:41Z	A ERA RIO BRANCO - EDUARDO BUENO	https://i.ytimg.com/vi/d8eHfHT3clU/mqdefault.jpg
BVwJY3St6qU	https://www.youtube.com/watch?v=BVwJY3St6qU	2019-09-22T14:00:00Z	GUERRA AOS FARRAPOS - EDUARDO BUENO	https://i.ytimg.com/vi/BVwJY3St6qU/mqdefault.jpg
TLRbHJ-bc2U	https://www.youtube.com/watch?v=TLRbHJ-bc2U	2019-09-18T13:52:14Z	AS TORMENTAS DE BARTOLOMEU DIAS - EDUARDO BUENO	https://i.ytimg.com/vi/TLRbHJ-bc2U/mqdefault.jpg
xx7v6I8kRAA	https://www.youtube.com/watch?v=xx7v6I8kRAA	2019-09-15T14:00:08Z	MORTE OU INDEPENDÊNCIA - EDUARDO BUENO	https://i.ytimg.com/vi/xx7v6I8kRAA/mqdefault.jpg
pSd993URA6E	https://www.youtube.com/watch?v=pSd993URA6E	2019-09-11T14:02:20Z	OS SETE POVOS DAS MISSÕES ORIENTAIS - EDUARDO BUENO	https://i.ytimg.com/vi/pSd993URA6E/mqdefault.jpg
